,Backbone,Dataset,MC Samples,# of Frames,Prediction Model,Seed,Uncertainty Measure,Aggregation Type,OOD Detection Rate,OOD AUROC,TTA Transforms
90,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_entropy_class,Image Level,0.826,0.5542560000000001,"('horizontalFlip',)"
91,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_entropy_class,Image Level,0.952,0.6557760000000001,"('horizontalFlip',)"
92,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,mutual_information_class,Patch Level,0.788,0.730892,"('horizontalFlip',)"
93,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,mutual_information_class,Image Level,0.974,0.783444,"('horizontalFlip',)"
94,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,softmax_cls_score,Patch Level,0.434,0.47646800000000006,"('horizontalFlip',)"
95,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,softmax_cls_score,Image Level,0.936,0.6410119999999999,"('horizontalFlip',)"
96,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,class_mask_combined_score,Patch Level,0.444,0.47304399999999996,"('horizontalFlip',)"
97,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,class_mask_combined_score,Image Level,0.93,0.64188,"('horizontalFlip',)"
98,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_entropy_mask,Patch Level,0.458,0.487468,"('horizontalFlip',)"
99,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_entropy_mask,Image Level,0.682,0.530792,"('horizontalFlip',)"
100,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_entropy_class,Patch Level,0.498,0.504596,"('horizontalFlip',)"
101,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_entropy_class,Patch Level,0.656,0.548656,"('horizontalFlip',)"
102,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_entropy_mask,Patch Level,0.416,0.46424,"('horizontalFlip',)"
103,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,mutual_information_mask,Patch Level,0.478,0.49528,"('horizontalFlip',)"
104,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_variance_mask,Patch Level,0.38,0.44766400000000006,"('horizontalFlip',)"
105,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,norm_sigmoid_mask_score,Patch Level,0.414,0.454316,"('horizontalFlip',)"
106,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,norm_sigmoid_mask_score,Image Level,0.794,0.606732,"('horizontalFlip',)"
107,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_variance_mask,Patch Level,0.376,0.44853600000000005,"('horizontalFlip',)"
108,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,expected_variance_mask,Image Level,0.162,0.386228,"('horizontalFlip',)"
109,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,2,MCDropout+TTA+Timeseries,3,pred_variance_mask,Image Level,0.074,0.347498,"('horizontalFlip',)"
110,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_entropy_mask,Patch Level,0.71,0.6192880000000001,"('horizontalFlip',)"
111,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_entropy_mask,Patch Level,0.64,0.580344,"('horizontalFlip',)"
112,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,mutual_information_mask,Patch Level,0.636,0.600036,"('horizontalFlip',)"
113,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_variance_mask,Patch Level,0.58,0.55156,"('horizontalFlip',)"
114,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_entropy_class,Patch Level,0.734,0.628584,"('horizontalFlip',)"
115,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,mutual_information_class,Patch Level,0.918,0.883896,"('horizontalFlip',)"
116,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,mutual_information_class,Image Level,0.984,0.889792,"('horizontalFlip',)"
117,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,softmax_cls_score,Patch Level,0.598,0.5444880000000001,"('horizontalFlip',)"
118,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,norm_sigmoid_mask_score,Patch Level,0.646,0.5950000000000001,"('horizontalFlip',)"
119,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_variance_mask,Patch Level,0.55,0.543048,"('horizontalFlip',)"
120,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,class_mask_combined_score,Patch Level,0.6,0.540924,"('horizontalFlip',)"
121,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_entropy_mask,Image Level,0.792,0.667164,"('horizontalFlip',)"
122,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_entropy_mask,Image Level,0.74,0.638508,"('horizontalFlip',)"
123,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,mutual_information_mask,Image Level,0.75,0.668096,"('horizontalFlip',)"
124,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_entropy_class,Image Level,0.932,0.7290560000000001,"('horizontalFlip',)"
125,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,softmax_cls_score,Image Level,0.912,0.73138,"('horizontalFlip',)"
126,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,norm_sigmoid_mask_score,Image Level,0.708,0.613824,"('horizontalFlip',)"
127,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,class_mask_combined_score,Image Level,0.908,0.729116,"('horizontalFlip',)"
128,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_entropy_class,Image Level,0.698,0.5695359999999999,"('horizontalFlip',)"
129,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_entropy_class,Patch Level,0.358,0.430912,"('horizontalFlip',)"
130,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,expected_variance_mask,Image Level,0.112,0.26971599999999996,"('horizontalFlip',)"
131,ResNet50,Cityscapes OOD (VIPER model),0,1,TTA+Timeseries,2,pred_variance_mask,Image Level,0.044,0.22237600000000002,"('horizontalFlip',)"
132,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_entropy_mask,Patch Level,0.59,0.5424559999999999,"('horizontalFlip',)"
133,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_entropy_mask,Image Level,0.794,0.5636439999999999,"('horizontalFlip',)"
134,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_entropy_mask,Image Level,0.66,0.514124,"('horizontalFlip',)"
135,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,mutual_information_mask,Patch Level,0.614,0.572004,"('horizontalFlip',)"
136,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,mutual_information_mask,Image Level,0.8,0.599996,"('horizontalFlip',)"
137,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_variance_mask,Patch Level,0.526,0.515828,"('horizontalFlip',)"
138,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_variance_mask,Image Level,0.41,0.479972,"('horizontalFlip',)"
139,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_entropy_class,Image Level,0.774,0.55672,"('horizontalFlip',)"
140,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,mutual_information_class,Image Level,0.944,0.674852,"('horizontalFlip',)"
141,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,softmax_cls_score,Image Level,0.722,0.5454239999999999,"('horizontalFlip',)"
142,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,norm_sigmoid_mask_score,Patch Level,0.552,0.524416,"('horizontalFlip',)"
143,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,norm_sigmoid_mask_score,Image Level,0.62,0.5359160000000001,"('horizontalFlip',)"
144,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_variance_mask,Patch Level,0.54,0.514448,"('horizontalFlip',)"
145,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,class_mask_combined_score,Patch Level,0.494,0.507664,"('horizontalFlip',)"
146,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,class_mask_combined_score,Image Level,0.718,0.547308,"('horizontalFlip',)"
147,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,softmax_cls_score,Patch Level,0.508,0.518508,"('horizontalFlip',)"
148,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_entropy_class,Image Level,0.534,0.5046,"('horizontalFlip',)"
149,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_entropy_mask,Patch Level,0.486,0.505584,"('horizontalFlip',)"
150,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_entropy_class,Patch Level,0.574,0.5249280000000001,"('horizontalFlip',)"
151,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,mutual_information_class,Patch Level,0.624,0.570404,"('horizontalFlip',)"
152,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,pred_variance_mask,Image Level,0.226,0.4483,"('horizontalFlip',)"
153,Swin-B,Cityscapes OOD,0,5,TTA+Timeseries,2,expected_entropy_class,Patch Level,0.384,0.45740400000000003,"('horizontalFlip',)"
154,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_entropy_mask,Patch Level,0.48,0.48988,()
155,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_entropy_mask,Image Level,0.678,0.541552,()
156,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_entropy_mask,Patch Level,0.536,0.5196080000000001,()
157,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_entropy_mask,Image Level,0.616,0.516484,()
158,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,mutual_information_mask,Image Level,0.66,0.555404,()
159,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_entropy_class,Image Level,0.684,0.525132,()
160,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_variance_mask,Patch Level,0.486,0.5048480000000001,()
161,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_variance_mask,Image Level,0.386,0.47110799999999997,()
162,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_entropy_class,Image Level,0.822,0.584076,()
163,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,mutual_information_class,Patch Level,0.606,0.55822,()
164,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,mutual_information_class,Image Level,0.864,0.642164,()
165,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,softmax_cls_score,Patch Level,0.542,0.538424,()
166,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,softmax_cls_score,Image Level,0.766,0.562844,()
167,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,norm_sigmoid_mask_score,Image Level,0.61,0.5312,()
168,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,class_mask_combined_score,Patch Level,0.526,0.525012,()
169,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,class_mask_combined_score,Image Level,0.72,0.559792,()
170,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,norm_sigmoid_mask_score,Patch Level,0.47,0.47917599999999994,()
171,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_variance_mask,Patch Level,0.5,0.508576,()
172,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_entropy_class,Patch Level,0.518,0.5208079999999999,()
173,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,pred_variance_mask,Image Level,0.27,0.44712799999999997,()
174,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,expected_entropy_class,Patch Level,0.524,0.514244,()
175,DINOv2 (ViT-B),Cityscapes OOD,3,5,MCDropout+Timeseries,3,mutual_information_mask,Patch Level,0.484,0.494684,()
176,Swin-B,Cityscapes OOD,3,0,MCDropout+TTA,2,pred_entropy_mask,Patch Level,0.612,0.562988,"('horizontalFlip', 'scale')"
177,Swin-B,Cityscapes OOD,3,0,MCDropout+TTA,2,expected_entropy_mask,Image Level,0.442,0.49119599999999997,"('horizontalFlip', 'scale')"
178,Swin-B,Cityscapes OOD,3,0,MCDropout+TTA,2,expected_variance_mask,Patch Level,0.568,0.54042,"('horizontalFlip', 'scale')"
