Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,ResNet50,3,1,"('scale',)",2,0.982,0.823376
Cityscapes OOD,ResNet50,3,1,"('scale',)",3,0.984,0.8233320000000001
Cityscapes OOD,ResNet50,3,2,(),1,0.982,0.878144
Cityscapes OOD,ResNet50,3,2,(),2,0.972,0.875208
Cityscapes OOD,ResNet50,3,2,(),3,0.978,0.872532
Cityscapes OOD,ResNet50,3,2,"('horizontalFlip',)",1,0.984,0.856336
Cityscapes OOD,ResNet50,3,2,"('horizontalFlip',)",2,0.984,0.8614320000000001
Cityscapes OOD,ResNet50,3,2,"('horizontalFlip',)",3,0.984,0.85474
Cityscapes OOD,ResNet50,3,3,(),1,0.974,0.8456119999999999
Cityscapes OOD,ResNet50,3,3,(),2,0.982,0.851004
Cityscapes OOD,ResNet50,3,3,(),3,0.988,0.8510279999999999
Cityscapes OOD,ResNet50,3,5,(),1,0.98,0.8068280000000001
Cityscapes OOD,ResNet50,3,5,(),2,0.976,0.8065439999999999
Cityscapes OOD,ResNet50,3,5,(),3,0.974,0.805028
Cityscapes OOD,ResNet50,5,0,(),1,0.962,0.77336
Cityscapes OOD,ResNet50,5,0,(),2,0.96,0.7753920000000001
Cityscapes OOD,ResNet50,5,0,(),3,0.976,0.7752719999999999
Cityscapes OOD,ResNet50,5,0,"('horizontalFlip',)",1,0.97,0.78
Cityscapes OOD,ResNet50,5,0,"('horizontalFlip',)",2,0.964,0.7808160000000001
Cityscapes OOD,ResNet50,5,0,"('horizontalFlip',)",3,0.97,0.783672
Cityscapes OOD,ResNet50,5,0,"('scale',)",1,0.934,0.7847079999999999
Cityscapes OOD,ResNet50,5,0,"('scale',)",2,0.936,0.7863600000000001
Cityscapes OOD,ResNet50,5,0,"('scale',)",3,0.94,0.779412
Cityscapes OOD,ResNet50,5,1,(),1,0.988,0.9015520000000001
Cityscapes OOD,ResNet50,5,1,(),2,0.98,0.90232
Cityscapes OOD,ResNet50,5,1,(),3,0.976,0.9017439999999999
Cityscapes OOD,ResNet50,5,1,"('horizontalFlip',)",1,0.984,0.8830640000000001
Cityscapes OOD,ResNet50,5,1,"('horizontalFlip',)",2,0.988,0.8799520000000001
Cityscapes OOD,ResNet50,5,1,"('horizontalFlip',)",3,0.984,0.8843239999999999
Cityscapes OOD,ResNet50,5,2,(),1,0.986,0.8764319999999999
Cityscapes OOD,ResNet50,5,2,(),2,0.986,0.8691439999999999
Cityscapes OOD,ResNet50,5,2,(),3,0.984,0.874244
Cityscapes OOD,ResNet50,5,3,(),1,0.984,0.850976
Cityscapes OOD,ResNet50,5,3,(),2,0.988,0.8501679999999999
Cityscapes OOD,ResNet50,5,3,(),3,0.986,0.8493040000000001
Cityscapes OOD,ResNet50,10,0,(),1,0.968,0.7758480000000001
Cityscapes OOD,ResNet50,10,0,(),2,0.96,0.7766919999999999
Cityscapes OOD,ResNet50,10,0,(),3,0.96,0.777668
Cityscapes OOD,ResNet50,10,0,"('horizontalFlip',)",1,0.96,0.780784
Cityscapes OOD,ResNet50,10,0,"('horizontalFlip',)",2,0.97,0.78066
Cityscapes OOD,ResNet50,10,0,"('horizontalFlip',)",3,0.966,0.7823359999999999
Cityscapes OOD,ResNet50,10,1,(),1,0.982,0.897036
Cityscapes OOD,ResNet50,10,1,(),2,0.98,0.8934399999999999
Cityscapes OOD,ResNet50,10,1,(),3,0.99,0.898604
Cityscapes OOD,Swin-B,0,0,(),1,0.742,0.61866
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip',)",1,0.796,0.70076
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip',)",2,0.796,0.70076
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip',)",3,0.796,0.70076
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip', 'scale')",1,0.844,0.7223239999999999
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip', 'scale')",2,0.844,0.7223239999999999
Cityscapes OOD,Swin-B,0,0,"('horizontalFlip', 'scale')",3,0.844,0.7223239999999999
Cityscapes OOD,Swin-B,0,0,"('scale',)",1,0.818,0.6895439999999999
Cityscapes OOD,Swin-B,0,0,"('scale',)",2,0.818,0.6895439999999999
Cityscapes OOD,Swin-B,0,0,"('scale',)",3,0.818,0.6895439999999999
Cityscapes OOD,Swin-B,0,1,(),1,0.958,0.8273520000000001
Cityscapes OOD,Swin-B,0,1,(),2,0.958,0.8273520000000001
Cityscapes OOD,Swin-B,0,1,(),3,0.958,0.8273520000000001
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip',)",1,0.942,0.7942279999999999
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip',)",2,0.942,0.7942279999999999
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip',)",3,0.942,0.7942279999999999
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip', 'scale')",1,0.94,0.806276
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip', 'scale')",2,0.94,0.806276
Cityscapes OOD,Swin-B,0,1,"('horizontalFlip', 'scale')",3,0.94,0.806276
Cityscapes OOD,Swin-B,0,1,"('scale',)",1,0.946,0.7896000000000001
Cityscapes OOD,Swin-B,0,1,"('scale',)",2,0.946,0.7896000000000001
Cityscapes OOD,Swin-B,0,1,"('scale',)",3,0.946,0.7896000000000001
Cityscapes OOD,Swin-B,0,2,(),1,0.962,0.773468
Cityscapes OOD,Swin-B,0,2,(),2,0.962,0.773468
Cityscapes OOD,Swin-B,0,2,(),3,0.962,0.773468
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip',)",1,0.95,0.743112
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip',)",2,0.95,0.743112
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip',)",3,0.95,0.743112
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip', 'scale')",1,0.954,0.703044
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip', 'scale')",2,0.954,0.703044
Cityscapes OOD,Swin-B,0,2,"('horizontalFlip', 'scale')",3,0.954,0.703044
Cityscapes OOD,Swin-B,0,2,"('scale',)",1,0.952,0.7108040000000001
Cityscapes OOD,Swin-B,0,2,"('scale',)",2,0.952,0.7108040000000001
