,Backbone,Dataset,TTA Transforms,# of Frames,Panoptic Aggregation Method,Prediction Model,Seed,PQ-All,RQ-All,SQ-All,PQ-Global,RQ-Global,SQ-Global,PQ-Things,RQ-Things,SQ-Things,PQ-Stuff,RQ-Stuff,SQ-Stuff,mIoU,mDICE,gIoU,gDICE,Uncertainty Measure,Aggregation Type,AURC-PQ,EAURC-PQ,AURC-IoU,EAURC-IoU,AURC-DICE,EAURC-DICE,Panoptic Class - ECE,Panoptic Class - MCE,Panoptic Class - ACE,Semantic Class - ECE,Semantic Class - MCE,Semantic Class - ACE,MC Samples
12,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_entropy_mask,Patch Level,0.4064810417087686,0.11588000861795422,0.057901966797615695,0.01597628387768056,0.030107059064730567,0.008606665779111115,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
13,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_entropy_mask,Image Level,0.38850699600877675,0.09790596291796239,0.05111872878449007,0.009193045864554938,0.026448187854553707,0.004947794568934256,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
14,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_entropy_class,Patch Level,0.3477082600225879,0.05710722693177356,0.05620042569287448,0.014274742772939344,0.029708193726293613,0.008207800440674162,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
15,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_entropy_class,Image Level,0.3783057411099677,0.08770470801915331,0.05047434247652194,0.008548659556586805,0.02606693066113706,0.004566537375517609,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
16,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_variance_mask,Patch Level,0.44405096397619337,0.153449930885379,0.07038180706836307,0.028456124148427936,0.03688663783873503,0.015386244553115581,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
17,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,expected_variance_mask,Image Level,0.4165522938294571,0.1259512607386427,0.07435354022337014,0.032427857303435004,0.039029300886176725,0.017528907600557274,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
18,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,pred_entropy_class,Patch Level,0.3417478304165779,0.05114679732576355,0.06065110078472367,0.018725417864788534,0.03232466902174614,0.010824275736126689,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
19,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,pred_entropy_class,Image Level,0.38236461973172026,0.09176358664090589,0.05143363219327864,0.00950794927334351,0.026574327216252278,0.005073933930632827,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
20,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,mutual_information_class,Patch Level,0.35460525769514395,0.06400422460432958,0.0755984357359096,0.03367275281597447,0.04134813242883916,0.01984773914321971,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
21,ResNet50,Cityscapes,"('horizontalFlip', 'scale')",1,Averaging,TTA+Timeseries,1,0.5970095590357269,0.7241728648809652,0.8089106911810958,0.5946822309701004,0.7313376847475429,0.8131431531186365,0.4931497189437794,0.6222196824249752,0.7830775258187077,0.6725439881935068,0.798320633939867,0.8276984478082873,0.802205155123746,0.8851337534798539,0.9296042581714061,0.9635180418313835,mutual_information_class,Image Level,0.39154702068845215,0.10094598759763779,0.05503889232117318,0.013113209401238043,0.028511158659916755,0.007010765374297304,0.01926445243310643,0.305459744835404,0.10997187564900866,0.030996604400576184,0.8959406649147739,0.25531976213169,0
